,room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude
0,19767654,1428,70082317,Entire home/apt,,Toronto,,Niagara (82),0,0.0,3,2.0,,96.0,,2017-07-10 14:31:07.859320,43.638055,-79.401659
1,11521420,1428,7994690,Entire home/apt,,Toronto,,Woburn (137),0,0.0,4,2.0,,100.0,,2017-07-10 14:30:30.217267,43.780728,-79.246416
2,18996734,1428,100200852,Entire home/apt,,Toronto,,Willowdale East (51),2,0.0,4,2.0,,88.0,,2017-07-10 14:30:13.707004,43.778519,-79.414452
3,13448709,1428,40741202,Entire home/apt,,Toronto,,West Humber-Clairville (1),21,5.0,3,2.0,,63.0,,2017-07-10 14:28:04.257651,43.725403,-79.61690899999999
4,13659795,1428,33699825,Entire home/apt,,Toronto,,Newtonbrook West (36),7,5.0,4,2.0,,72.0,,2017-07-10 14:27:57.716156,43.785733,-79.437599
5,18377427,1428,127276180,Entire home/apt,,Toronto,,Willowdale East (51),11,5.0,4,2.0,,79.0,,2017-07-10 14:27:32.333578,43.778616,-79.41235400000001
6,19101197,1428,133379747,Entire home/apt,,Toronto,,Scarborough Village (139),3,3.5,6,3.0,,70.0,,2017-07-10 14:27:20.306331,43.737887,-79.225832
7,269355,1428,1411076,Entire home/apt,,Toronto,,Yonge-St.Clair (97),0,0.0,5,3.0,,59.0,,2017-07-10 14:27:17.813208,43.684359,-79.400531
8,9117089,1428,36163882,Entire home/apt,,Toronto,,Church-Yonge Corridor (75),4,4.5,4,1.0,,40.0,,2017-07-10 14:26:59.273887,43.666881,-79.385074
9,17301885,1428,4034119,Entire home/apt,,Toronto,,High Park-Swansea (87),1,0.0,4,2.0,,40.0,,2017-07-10 14:26:57.273892,43.651323,-79.457728
10,6536680,1428,34186216,Entire home/apt,,Toronto,,Lawrence Park North (105),0,0.0,6,4.0,,1713.0,,2017-07-10 14:26:55.992281,43.731775,-79.416225
11,13658960,1428,76175401,Entire home/apt,,Toronto,,Waterfront Communities-The Island (77),2,0.0,10,3.0,,1055.0,,2017-07-10 14:26:54.923541,43.639185999999995,-79.396596
